device,sm,M,N,K,kernel,ms,tflops,pct_of_cublas,max_abs_err
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,naive,0.059,4.57,232.2,8.11e-06
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,tiled,0.049,5.43,276.0,8.11e-06
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,wmma,0.017,16.13,819.7,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,mma_base,0.076,3.54,179.9,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,mma_swizzle,0.062,4.36,221.5,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,mma_vec,0.019,14.43,733.3,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,mma_pipe,0.017,15.69,797.7,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,mma_warptile,0.018,14.98,761.6,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,cublas,0.136,1.97,100.0,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,cublas_tf32,0.010,27.51,1398.6,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,512,512,512,cublas_tc,0.008,33.26,1690.8,0.00254
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,naive,0.363,5.92,61.5,1.53e-05
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,tiled,0.279,7.71,80.2,1.53e-05
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,wmma,0.056,38.29,398.1,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,mma_base,0.148,14.56,151.4,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,mma_swizzle,0.120,17.91,186.2,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,mma_vec,0.033,65.28,678.8,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,mma_pipe,0.031,69.19,719.5,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,mma_warptile,0.031,69.42,721.8,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,cublas,0.223,9.62,100.0,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,cublas_tf32,0.024,89.18,927.3,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,1024,1024,1024,cublas_tc,0.016,135.96,1413.7,0.00376
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,naive,2.726,6.30,17.5,4.2e-05
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,tiled,2.011,8.54,23.7,4.2e-05
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,wmma,0.251,68.39,190.0,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,mma_base,0.365,47.01,130.6,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,mma_swizzle,0.250,68.82,191.2,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,mma_vec,0.125,137.01,380.7,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,mma_pipe,0.121,141.93,394.3,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,mma_warptile,0.083,207.01,575.1,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,cublas,0.477,35.99,100.0,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,cublas_tf32,0.132,129.88,360.9,0.00579
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,2048,2048,2048,cublas_tc,0.080,214.93,597.2,0.00578
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,naive,23.206,5.92,11.1,0.000105
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,tiled,16.578,8.29,15.6,0.000105
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,wmma,1.424,96.52,181.1,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,mma_base,2.189,62.77,117.8,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,mma_swizzle,1.637,83.93,157.5,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,mma_vec,0.774,177.64,333.3,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,mma_pipe,0.737,186.36,349.7,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,mma_warptile,0.564,243.77,457.4,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,cublas,2.579,53.30,100.0,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,cublas_tf32,0.937,146.67,275.2,0.00765
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,4096,4096,4096,cublas_tc,0.578,237.93,446.4,0.00769
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,naive,232.044,4.74,8.6,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,tiled,151.486,7.26,13.2,0
"NVIDIA RTX PRO 6000 Blackwell Max-Q Workstation Edition",120,8192,8192,8192,wmma,10.660,103.14,188.0,0.0112
