device,sm,M,N,K,kernel,ms,tflops,pct_of_cublas,max_abs_err
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,naive,3.137,5.48,25.1,0
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,tiled,1.864,9.22,42.2,0
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,wmma,0.307,56.00,256.6,0.00578
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,cutlass_sm90,0.046,373.94,1713.8,0.00578
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,cublas,0.787,21.82,100.0,0
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,cublas_tf32,0.054,318.88,1461.5,0.00579
"NVIDIA H100 80GB HBM3",90,2048,2048,2048,cublas_tc,0.032,540.87,2478.9,0.00578
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,naive,25.617,5.37,11.7,0
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,tiled,15.198,9.04,19.8,0
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,wmma,2.334,58.88,128.9,0.0077
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,cutlass_sm90,0.249,552.67,1209.9,0.0077
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,cublas,3.009,45.68,100.0,0
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,cublas_tf32,0.344,399.35,874.2,0.00766
"NVIDIA H100 80GB HBM3",90,4096,4096,4096,cublas_tc,0.189,726.40,1590.2,0.0077
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,naive,212.578,5.17,10.2,0
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,tiled,119.910,9.17,18.2,0
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,wmma,18.014,61.04,120.9,0.0112
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,cutlass_sm90,1.716,640.85,1269.2,0.0112
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,cublas,21.776,50.49,100.0,0
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,cublas_tf32,2.668,412.04,816.1,0.0113
"NVIDIA H100 80GB HBM3",90,8192,8192,8192,cublas_tc,1.466,749.89,1485.2,0.0112
