# Clock/power state during the Phase 2 mma.sync benchmark session
# Card: RTX PRO 6000 Blackwell Max-Q Workstation Edition (300 W power limit)
# Sampled at 1 Hz by nvidia-smi for the whole bench_mma_session.csv run.
# Columns: timestamp, sm_clock, max_sm_clock, power_draw, power_limit, temp
2026/06/02 10:03:03.605, 180 MHz, 3090 MHz, 10.58 W, 300.00 W, 40
2026/06/02 10:03:04.625, 180 MHz, 3090 MHz, 11.04 W, 300.00 W, 40
2026/06/02 10:03:05.636, 2280 MHz, 3090 MHz, 44.15 W, 300.00 W, 41
2026/06/02 10:03:06.638, 2272 MHz, 3090 MHz, 81.93 W, 300.00 W, 41
2026/06/02 10:03:07.639, 2100 MHz, 3090 MHz, 172.59 W, 300.00 W, 46
2026/06/02 10:03:08.641, 2302 MHz, 3090 MHz, 111.00 W, 300.00 W, 43
2026/06/02 10:03:09.642, 2317 MHz, 3090 MHz, 65.44 W, 300.00 W, 42
2026/06/02 10:03:10.643, 727 MHz, 3090 MHz, 51.54 W, 300.00 W, 42
2026/06/02 10:03:11.645, 1792 MHz, 3090 MHz, 163.19 W, 300.00 W, 49
2026/06/02 10:03:12.647, 1695 MHz, 3090 MHz, 300.07 W, 300.00 W, 50
2026/06/02 10:03:13.649, 1687 MHz, 3090 MHz, 300.03 W, 300.00 W, 51
2026/06/02 10:03:14.651, 2205 MHz, 3090 MHz, 267.25 W, 300.00 W, 52
2026/06/02 10:03:15.653, 2197 MHz, 3090 MHz, 268.57 W, 300.00 W, 48
2026/06/02 10:03:16.655, 2317 MHz, 3090 MHz, 203.14 W, 300.00 W, 53
2026/06/02 10:03:17.656, 2137 MHz, 3090 MHz, 165.74 W, 300.00 W, 55
