# Clock/power state during the Phase 3 FP8/FP4 benchmark session
# Card: RTX PRO 6000 Blackwell Max-Q (300 W power limit), full session all kernels x 512..8192
# Summary: under-load avg SM clock 2064 MHz, max 2317 MHz, peak power 300.0 W (cap reached), peak temp 49 C
# Columns: timestamp, sm_clock, power_draw, temp
2026/06/02 13:35:05.901, 180 MHz, 12.22 W, 36
2026/06/02 13:35:06.912, 2280 MHz, 27.65 W, 37
2026/06/02 13:35:07.913, 2272 MHz, 86.13 W, 38
2026/06/02 13:35:08.913, 2280 MHz, 68.12 W, 38
2026/06/02 13:35:09.913, 2265 MHz, 186.16 W, 39
2026/06/02 13:35:10.913, 2317 MHz, 81.81 W, 39
2026/06/02 13:35:11.913, 2302 MHz, 67.42 W, 39
2026/06/02 13:35:12.913, 1027 MHz, 50.46 W, 39
2026/06/02 13:35:13.914, 1680 MHz, 219.53 W, 45
2026/06/02 13:35:14.914, 1672 MHz, 300.00 W, 46
2026/06/02 13:35:15.914, 1845 MHz, 277.46 W, 43
2026/06/02 13:35:16.914, 2130 MHz, 268.58 W, 49
2026/06/02 13:35:17.914, 2265 MHz, 258.85 W, 48
2026/06/02 13:35:18.915, 2287 MHz, 193.93 W, 46
2026/06/02 13:35:19.915, 2250 MHz, 135.24 W, 44
2026/06/02 13:35:20.915, 2092 MHz, 163.32 W, 47
